title	views	users	revenue	rpm	top_source	n_sources
일본 네비게이션 어플 추천 한국어 설치 다운로드 - 더픽	454.0	392.0	20.916000000000007	46.070484581497816	paxnet.co.kr / referral	10
스타벅스 카드 잔액조회 앱 다운로드 바로가기 - 더픽	222.0	181.0	10.194217000000002	45.9198963963964	(direct) / (none)	5
대우전자 서비스센터 바로가기 - 더픽	128.0	97.0	5.854208	45.736	(direct) / (none)	2
네이버 고객센터 바로가기 - 더픽	203.0	171.0	9.269034	45.660266009852215	(direct) / (none)	2
삼성전자서비스센터 고객센터 바로가기 - 더픽	356.0	305.0	16.166022	45.41017415730337	(direct) / (none)	1
공시지가 이의신청 개별지 공동주택 공시지가 이의신청 바로가기 - 더픽	181.0	153.0	8.10716	44.79093922651934	(direct) / (none)	4
쿠첸 고객센터 바로가기 - 더픽	126.0	97.0	5.620926	44.610523809523805	(direct) / (none)	5
대한항공 고객센터 바로가기 - 더픽	124.0	90.0	5.513953	44.467362903225805	(direct) / (none)	4
삼성화재 고객센터 바로가기 - 더픽	144.0	125.0	6.319515	43.88552083333333	(direct) / (none)	4
2026 꿈드리미카드 신청하기 - 더픽	577.0	431.0	25.181597999999997	43.64228422876949	(direct) / (none)	4
2026 황금사자기 야구 중계 일정 대진표 바로가기 - 더픽	193.0	165.0	8.415417	43.60319689119171	(direct) / (none)	4
라이나 손해보험 고객센터 바로가기 - 더픽	229.0	199.0	9.88465	43.16441048034935	m.search.naver.com / referral	4
KB손해보험 고객센터 바로가기 - 더픽	113.0	93.0	4.86539	43.05654867256637	m.search.naver.com / referral	3
삼성카드 포인트 전환 사용처 바로가기 - 더픽	107.0	95.0	4.446393	41.55507476635513	(direct) / (none)	6
클라쎄 고객센터 바로가기 - 더픽	564.0	439.0	23.430629000000003	41.54366843971632	m.search.naver.com / referral	5
경남도민생활지원금 신청하기 - 더픽	641.0	471.0	26.493793	41.33197035881435	(direct) / (none)	8
고유가지원금 민생지원금 3차 신청 바로가기 - 더픽	3984.0	3141.0	164.528336	41.29727309236947	(direct) / (none)	8
틱톡 고객센터 문제신고 바로가기 - 더픽	726.0	540.0	29.743328999999996	40.96877272727272	(direct) / (none)	4
교통민원24 과태료조회 바로가기 - 더픽	523.0	443.0	21.238552	40.60908604206501	(direct) / (none)	2
쿠쿠 고객센터 바로가기 - 더픽	831.0	693.0	33.356669	40.140395908543915	(direct) / (none)	5
말자쇼 방청신청 바로가기 - 더픽	675.0	560.0	26.672539999999994	39.514874074074065	(direct) / (none)	6
MBTI 무료 성격 유형 검사 바로가기 - 더픽	1255.0	971.0	49.165943999999996	39.17605099601593	(direct) / (none)	6
한국도로공사 미납 고속도로통행료미납 하이패스 미납 통행료미납조회 - 더픽	232.0	178.0	8.963719999999999	38.636724137931026	naver / cpc	7
한국 월드컵 일정 중계 보는법 시간 무료 중계 바로가기 - 더픽	174.0	157.0	6.693868	38.47050574712644	(direct) / (none)	4
한일전기 고객센터 as센터 바로가기 - 더픽	843.0	649.0	32.316652000000005	38.335293001186244	(direct) / (none)	5
경동나비엔 고객센터 as센터 전화번호 시간 - 더픽	130.0	111.0	4.959576	38.150584615384616	(direct) / (none)	1
한국도로공사 다자녀 등록 통행료 감면 바로가기 - 더픽	361.0	292.0	13.709244	37.97574515235457	playtherapy.or.kr / referral	5
ena 편성표 온에어 바로가기 - 더픽	2167.0	1563.0	81.100767	37.4253654822335	(direct) / (none)	10
레딜 전자담배 판매점 구매처 바로가기 - 더픽	153.0	130.0	5.61824	36.720522875817	m.search.naver.com / referral	4
케이옥션 홈페이지 바로가기 - 더픽	264.0	222.0	9.660393000000001	36.59239772727273	m.search.naver.com / referral	5
