title	views	users	revenue	rpm	top_source	n_sources
BC카드 홈페이지 바로가기 - 더픽	199.0	152.0	21.399161	107.53347236180905	(direct) / (none)	6
교통민원24 과태료조회 바로가기 - 더픽	523.0	443.0	21.238552	40.60908604206501	(direct) / (none)	2
일본 네비게이션 어플 추천 한국어 설치 다운로드 - 더픽	454.0	392.0	20.916000000000007	46.070484581497816	paxnet.co.kr / referral	10
함양 대봉산 모노레일 정보 총정리 — 예약·요금·시간표·주차·반려동반·맛집 | 생활정보 나침반	605.0	342.0	20.732549	34.268676033057844	m.search.naver.com / referral	11
생활안정자금 대출 생활비대출 신청하기 - 더픽	182.0	145.0	20.067391999999998	110.2603956043956	(direct) / (none)	7
21세기 대군부인 ott 다시보기 - 더픽	1071.0	956.0	18.754022	17.51075816993464	(direct) / (none)	4
해랑열차 예약 방법·코스·가격·취소규정 총정리 | 생활정보 나침반	745.0	398.0	18.164814	24.38230067114094	m.search.naver.com / referral	11
무료 스포츠중계 블루티비 - 실시간 고화질 스포츠 중계	4950.0	2843.0	18.055055	3.6474858585858585	(direct) / (none)	3
AIA 생명 보험금 청구 홈페이지 바로가기 - 더픽	244.0	193.0	17.502847000000003	71.73297950819673	m.search.naver.com / referral	7
기초연금 모의계산 및 신청 방법 총정리 — 대상·지급액·국민연금과 차이 | 생활정보 나침반	752.0	445.0	17.141370000000002	22.794375000000002	naver / cpc	10
nh농협카드 홈페이지 바로가기 - 더픽	130.0	114.0	16.826671	129.43593076923077	(direct) / (none)	1
국민성장펀드 출시일 가입방법 가입조건 소득공제 - 더픽	334.0	282.0	16.508929000000002	49.427931137724556	(direct) / (none)	5
원기날씨 앱 정확도 설치 위젯 기상청 설치 및 다운로드 - 더픽	139.0	112.0	16.426399999999997	118.17553956834531	paxnet.co.kr / referral	11
동서울터미널 예매 어플 시간표 확인 예매하기 - 더픽	285.0	229.0	16.415021	57.5965649122807	(direct) / (none)	7
삼성전자서비스센터 고객센터 바로가기 - 더픽	356.0	305.0	16.166022	45.41017415730337	(direct) / (none)	1
lg가전 서비스센터 전화번호 예약 이전설치 정리 - 더픽	511.0	443.0	15.882594	31.081397260273974	(direct) / (none)	4
네이버 밴드 앱 다운로드 - 더픽	121.0	101.0	15.454357	127.72195867768596	(direct) / (none)	3
반디소프트 다운로드 바로가기 - 더픽	1740.0	1595.0	15.420338	8.862263218390805	(direct) / (none)	6
예다함 고객센터 바로가기 - 더픽	200.0	163.0	15.320390000000002	76.60195	m.search.naver.com / referral	3
무명전설 전국투어 콘서트 티켓 예매 바로가기 - 더픽	175.0	111.0	15.017655	85.81517142857142	(direct) / (none)	7
보이스피싱 번호조회 후후 경찰청시스템 바로가기 - 더픽	911.0	739.0	15.001394	16.466952799121845	(direct) / (none)	7
CJ대한통운 택배조회 고객센터 전화번호 - 더픽	1879.0	1622.0	14.833449	7.894331559340075	(direct) / (none)	6
대만 복권 당첨 확인 바로가기 - 더픽	763.0	610.0	14.818879	19.42185976408912	m.search.naver.com / referral	7
텔레그램 pc버전 다운로드 - 더픽	516.0	474.0	14.197501	27.514536821705427	(direct) / (none)	7
자동차세납부·자동차세환급·자동차세납부조회 한 번에 정리 (위택스 기준) | 생활정보 나침반	922.0	495.0	14.075015000000002	15.265742950108462	m.search.naver.com / referral	11
피망 바둑 다운로드 바로가기 - 더픽	79.0	67.0	14.051286999999999	177.86439240506328	(direct) / (none)	4
종합소득세 신고 국세청 홈택스 바로가기 - 더픽	183.0	154.0	13.918403	76.05684699453552	(direct) / (none)	2
노란우산 고객센터 바로가기 - 더픽	174.0	145.0	13.806875	79.34985632183908	m.search.naver.com / referral	6
가평 청리움 예약 방법 숙소 가격 사이트 바로가기 - 더픽	190.0	158.0	13.721425000000002	72.21802631578949	playtherapy.or.kr / referral	11
한국도로공사 다자녀 등록 통행료 감면 바로가기 - 더픽	361.0	292.0	13.709244	37.97574515235457	playtherapy.or.kr / referral	5
경동택배 배송조회 방문수거 바로가기 - 더픽	942.0	822.0	13.289101	14.107325902335457	(direct) / (none)	5
롯데손해보험 보험금 청구 및 실비서류 조회하기 - 더픽	247.0	213.0	12.752952	51.63138461538462	(direct) / (none)	4
공영홈쇼핑 고객센터 전화번호 운영시간 상담사연결 바로가기 - 더픽	165.0	132.0	12.305492999999998	74.57874545454544	(direct) / (none)	5
투쿨포스쿨 아울렛 매장 세일 바로가기 - 더픽	1286.0	1036.0	12.242832000000002	9.520087091757388	contents.premium.naver.com / referral	4
2026 고유가 피해지원금 잔액조회 잔액부족 확인하기 - 더픽	469.0	398.0	12.189469	25.990339019189765	m.search.naver.com / referral	6
가평청리움 예약 방법 총정리 — 가격·예약사이트·취소·확인까지 | 생활정보 나침반	413.0	253.0	12.051969	29.181523002421308	naver / cpc	9
현대홈쇼핑 편성표 및 라이브 고객센터 바로가기 - 더픽	407.0	354.0	11.801172	28.9955085995086	(direct) / (none)	7
구글페이먼트코리아 고객센터 전화번호 영업시간 상담원연결 - 더픽	221.0	168.0	11.754353	53.18711764705882	(direct) / (none)	5
사직서 양식 무료 다운로드 hwp pdf - 더픽	1288.0	1196.0	11.745462999999999	9.119148291925466	naver / organic	7
